poem_type,poem
அகநானூறு,"வானம் ஊர்ந்த வயங்கு ஒளி மண்டிலம்
நெருப்பெனச் சிவந்த உருப்பு அவிர் அம் காட்டு
இலை இல மலர்ந்த முகை இல் இலவம்
கலி கொள் ஆயம் மலிபு தொகுபு எடுத்த
அம் சுடர் நெடுங்கொடி பொற்பத் தோன்றி  
கயந்துகள் ஆகிய பயந்தபு கானம்
எம்மொடு கழிந்தனர் ஆயின் கம்மென
வம்பு விரித்தன்ன பொங்கு மணல் கான் யாற்றுப்
படுசினை தாழ்ந்த பயில் இணர் எக்கர்
மெய் புகுவு அன்ன கை கவர் முயக்கம்  
அவரும் பெறுகுவர் மன்னே நயவர
நீர் வார் நிகர் மலர் கடுப்ப ஓ மறந்து
அறு குளம் நிறைக்குந போல அல்கலும்
அழுதல் மேவலவாகிப்
பழி தீர் கண்ணும் படுகுவ மன்னே  
"
அகநானூறு,"யாயே கண்ணினும் கடுங்காதலளே
எந்தையும் நிலன் உறப் பொறாஅன் சீறடி சிவப்ப
எவன் இல குறுமகள் இயங்குதி என்னும்
யாமே பிரிவு இன்று இயைந்த துவரா நட்பின்
இருதலைப் புள்ளின் ஓர் உயிரம்மே  
ஏனல் அம் காவலர் ஆனாது ஆர்த்தொறும்
கிளி விளி பயிற்றும் வெளில் ஆடு பெருஞ்சினை
விழுக்கோட் பலவின் பழுப் பயங்கொண்மார்
குறவர் ஊன்றிய குரம்பை புதைய
வேங்கை தாஅய தேம்பாய் தோற்றம்  
புலி செத்து  வெரீஇய புகர்முக வேழம்
மழை படு சிலம்பில் கழை படப் பெயரும்
நல் வரை நாட நீ வரின்
மெல்லியல் ஓரும் தான் வாழலளே  
"
அகநானூறு,"தன் கடல் பிறந்த முத்தின் ஆரமும்
முனை திரை கொடுக்கும் துப்பின் தன் மலைத்
தெறல் அரு மரபின் கடவுள் பேணிக்
குறவர் தந்த சந்தின் ஆரமும்
இரு பேர் ஆரமும் எழில் பெற அணியும்  
திரு வீழ் மார்பின் தென்னவன் மறவன்
குழியில் கொண்ட மராஅ யானை
மொழியின் உணர்த்தும் சிறு வரை அல்லது
வரை நிலை இன்றி இரவலர்க்கு ஈயும்
வள்வாய் அம்பின் கோடைப் பொருநன்  
பண்ணி தைஇய பயங்கெழு வேள்வியின்
விழுமிது நிகழ்வது ஆயினும் தெற்கு ஏர்பு
கழி மழை பொழிந்த பொழுது கொள் அமையத்துச்
சாயல் இன் துணை இவள் பிரிந்து உறையின்
நோய் இன்றாக செய் பொருள் வயிற்பட  
மாசு இல் தூ மடி விரிந்த சேக்கை
கவவு இன்புறாமைக் கழிக வள வயல்
அழல் நுதி அன்ன தோகை ஈன்ற
கழனி நெல்லின் கவை முதல் அலங்கல்
நிரம்பு அகன் செறுவில் வரம்பு அணையாத் துயல்வரப்  
புலம்பொடு வந்த பொழுது கொள் வாடை
இலங்கு பூங்கரும்பின் ஏர் கழை இருந்த
வெண்குருகு நரல வீசும்
நுண் பல் துவலைய தண் பனி நாளே  
"
அகநானூறு,"அரக்கத்து அன்ன செந்நிலப் பெருவழி
காயாஞ்செம்மல் தாஅய் பல உடன்
ஈயல் மூதாய் வரிப்பப் பவளமொடு
மணி மிடைந்தன்ன குன்றம் கவைஇய
அம் காட்டு ஆர் இடை மடப் பிணை தழீஇத்  
திரி மருப்பு இரலை புல் அருந்து உகள
முல்லை வியன் புலம் பரப்பிக் கோவலர்
குறும்பொறை மருங்கின் நறும்பூ அயரப்
பதவு மேயல் அருந்து மதவு நடை நல் ஆன்
வீங்கு மாண் செருத்தல் தீம் பால் பிலிற்ற  
கன்று பயிர் குரல மன்று நிறை புகுதரும்
மாலையும் உள்ளார் ஆயின் காலை
யாங்கு ஆகுவம் கொல் பாண என்ற
மனையோள் சொல் எதிர் சொல்லல் செல்லேன்
செவ்வழி நல் யாழ் இசையினென் பையெனக்  
கடவுள் வாழ்த்திப் பையுள் மெய்ந்நிறுத்தி
அவர் திறம் செல்வேன் கண்டனென் யானே
விடு விசைக் குதிரை விலங்கு பரி முடுகக்
கல் பொருது இரங்கும் பல் ஆர் நேமிக்
கார் மழை முழக்கு இசை கடுக்கும்  
முனை நல் ஊரன் புனை நெடுந்தேரே  
"
அகநானூறு,"எம் வெங்காமம் இயைவது ஆயின்
மெய்ம்மலி பெரும்பூண் செம்மல் கோசர்
கொம்மையம் பசுங்காய்க் குடுமி விளைந்த
பாகல் ஆர்கைப் பறைக் கண் பீலித்
தோகைக் காவின் துளு நாட்டு அன்ன  
வறுங்கை வம்பலர் தாங்கும் பண்பின்
செறிந்த சேரிச் செம்மல் மூதூர்
அறிந்த மாக்கட்டு ஆகுக தில்ல
தோழிமாரும் யானும் புலம்பச்
சூழி யானைச் சுடர்ப் பூண் நன்னன்  
பாழி அன்ன கடி உடை வியன் நகர்ச்
செறிந்த காப்பு இகந்து அவனொடு போகி
அத்த இருப்பை ஆர் கழல் புதுப்பூத்
துய்த்த வாய துகள் நிலம் பரக்க
கொன்றை அம் சினைக் குழல் பழம் கொழுதி  
வன்கை எண்கின் வய நிரை பரக்கும்
இன்துணைப் படர்ந்த கொள்கையொடு ஒராங்குக்
குன்ற வேயின் திரண்ட என்
மென்தோள் அஞ்ஞை சென்ற ஆறே  
"
அகநானூறு,"நாயுடை முதுநீர்க் கலித்த தாமரைத்
தாதின் அல்லி அவிர் இதழ் புரையும்
மாசு இல் அங்கை மணி மருள் அவ்வாய்
நாவொடு நவிலா நகை படு தீஞ்சொல்
யாவரும் விழையும் பொலந்தொடிப் புதல்வனைத்  
தேர் வழங்கு தெருவில் தமியோன் கண்டே
கூர் எயிற்று அரிவை குறுகினள் யாவரும்
காணுநர் இன்மையின் செத்தனள் பேணிப்
பொலங்கலம் சுமந்த பூண் தாங்கு இளமுலை
வருக மாள என் உயிர் எனப் பெரிது உவந்து  
கொண்டனள் நின்றோள் கண்டு நிலைச் செல்லேன்
மாசு இல் குறுமகள் எவன் பேதுற்றனை
நீயும் தாயை இவற்கு என யான் தற்
கரைய வந்து விரைவனென் கவைஇ
களவு உடம்படுநரின் கவிழ்ந்து நிலம் கிளையா  
நாணி நின்றோள் நிலை கண்டு யானும்
பேணினென் அல்லனோ மகிழ்ந வானத்து
அணங்கு அருங்கடவுள் அன்னோள் நின்
மகன் தாய் ஆதல் புரைவது ஆங்கு எனவே  
"
அகநானூறு,"வளங்கெழு திரு நகர்ப் பந்து சிறிது எறியினும்
இளந்துணை ஆயமொடு கழங்கு உடன் ஆடினும்
உயங்கின்று அன்னை என் மெய் என்று அசைஇ
மயங்கு வியர் பொறித்த நுதலள் தண்ணென
முயங்கினள் வதியும் மன்னே இனியே  
தொடி மாண் சுற்றமும் எம்மும் உள்ளாள்
நெடுமொழித் தந்தை அருங்கடி நீவி
நொதுமலாளன் நெஞ்சு அறப் பெற்ற என்
சிறு முதுக்குறைவி சிலம்பு ஆர் சீறடி
வல்ல கொல் செல்லத் தாமே கல்லென  
ஊர் எழுந்தன்ன உருகெழு செலவின்
நீர் இல் அத்தத்து ஆர் இடை மடுத்த
கொடுங்கோல் உமணர் பகடு தெழி தெள் விளி
நெடும் பெருங்குன்றத்து இமிழ் கொள இயம்பும்
கடுங்கதிர் திருகிய வேய் பயில் பிறங்கல்  
பெருங்களிறு உரிஞ்சிய மண் அரை யாஅத்து
அருஞ்சுரக் கவலைய அதர் படு மருங்கின்
நீள் அரை இலவத்து ஊழ் கழி பல் மலர்
விழவுத் தலைக்கொண்ட பழ விறல் மூதூர்
நெய் உமிழ் சுடரின் கால் பொரச் சில்கி  
வைகுறு மீனின் தோன்றும்
மைபடு மாமலை விலங்கிய சுரனே  
"
அகநானூறு,"நீர் நிறம் கரப்ப ஊழுறுபு உதிர்ந்து
பூ மலர் கஞலிய கடுவரல் கான்யாற்று
கராஅம் துஞ்சும் கல் உயர் மறி சுழி
மராஅ யானை மதம் தப ஒற்றி
உராஅ ஈர்க்கும் உட்குவரு நீத்தம்  
கடுங்கண் பன்றியின் நடுங்காது துணிந்து
நாம அருந்துறைப் பேர்தந்து யாமத்து
ஈங்கும் வருபவோ ஓங்கல் வெற்ப
ஒரு நாள் விழுமம் உறினும் வழிநாள்
வாழ்குவள் அல்லள் என் தோழி யாவதும்  
ஊறு இல் வழிகளும் பயில வழங்குநர்
நீடு இன்று ஆக இழுக்குவர் அதனால்
உலமரல் வருத்தம் உறுதும் எம் படப்பைக்
கொடுந்தேன் இழைத்த கோடு உயர் நெடுவரை
பழம் தூங்கு நளிப்பின் காந்தள் அம் பொதும்பில்  
பகல் நீ வரினும் புணர்குவை அகல் மலை
வாங்கு அமைக் கண் இடை கடுப்ப யாய்
ஓம்பினள் எடுத்த தட மென்தோளே  
"
அகநானூறு,"அன்று அவண் ஒழிந்தன்றும் இலையே வந்து நனி
வருந்தினை வாழி என் நெஞ்சே பருந்து இருந்து
உயா விளி பயிற்றும் யா உயர் நனந்தலை
உருள் துடி மகுளியின் பொருள் தெரிந்து இசைக்கும்
கடுங்குரல் குடிஞைய நெடும் பெருங்குன்றம்  
எம்மொடு இறத்தலும் செல்லாய் பின் நின்று
ஒழியச் சூழ்ந்தனை ஆயின் தவிராது
செல் இனி சிறக்க நின் உள்ளம் வல்லே
மறவல் ஓம்புமதி எம்மே நறவின்
சேயிதழ் அனைய ஆகிக் குவளை  
மா இதழ் புரையும் மலிர் கொள் ஈர் இமை
உள்ளகம் கனல உள்ளுதொறு உலறி
பழங்கண் கொண்ட கலிழ்ந்து வீழ் அவிர் அறல்
வெய்ய உகுதர வெரீஇப் பையென
சில் வளை சொரிந்த மெல் இறை முன் கை  
பூ வீழ் கொடியின் புல்லெனப் போகி
அடர் செய் ஆய் அகல் சுடர் துணை ஆக
இயங்காது வதிந்த நம் காதலி
உயங்கு சாய் சிறுபுறம் முயங்கிய பின்னே  
"
அகநானூறு,"பெருநீர் அழுவத்து எந்தை தந்த
கொழு மீன் உணங்கல் படுபுள் ஓப்பி
எக்கர்ப் புன்னை இன் நிழல் அசைஇ
செக்கர் ஞெண்டின் குண்டு அளை கெண்டி
ஞாழல் ஓங்கு சினைத் தொடுத்த கொடுங்கழித்  
தாழை வீழ் கயிற்று ஊசல் தூங்கிக்
கொண்டல் இடு மணல் குரவை முனையின்
வெண்தலைப் புணரி ஆயமொடு ஆடி
மணிப்பூம் பைந்தழை தைஇ அணித்தகப்
பல் பூங்கானல் அல்கினம் வருதல்  
கவ்வை நல் அணங்கு உற்ற இவ்வூர்
கொடிது அறி பெண்டிர் சொல் கொண்டு அன்னை
கடி கொண்டனளே தோழி பெருந்துறை
எல்லையும் இரவும் என்னாது கல்லென
வலவன் ஆய்ந்த வண் பரி  
நிலவு மணல் கொட்கும் ஓர் தேர் உண்டு எனவே  
"
அகநானூறு,"மனை இளநொச்சி மௌவல் வால் முகைத்
துணை நிரைத்தன்ன மா வீழ் வெண்பல்
அவ் வயிற்று அகன்ற அல்குல் தைஇத்
தாழ் மென் கூந்தல் தட மென் பணைத்தோள்
மடந்தை மாண் நலம் புலம்பச் சேய் நாட்டுச்  
செல்லல் என்று யான் சொல்லவும் ஒல்லாய்
வினை நயந்து அமைந்தனை ஆயினை மனை நகப்
பல் வேறு வெறுக்கை தருகம் வல்லே
எழு இனி வாழி என் நெஞ்சே புரி இணர்
மெல் அவிழ் அம் சினை புலம்ப வல்லோன்  
கோடு அறை கொம்பின் வீ உகத் தீண்டி
மராஅம் அலைத்த மணவாய்த் தென்றல்
சுரம் செல் மள்ளர் சுரியல் தூற்றும்
என்றூழ் நின்ற புன்தலை வைப்பில்
பருந்து இளைப்படூஉம் பாறுதலை ஓமை  
இருங்கல் விடரகத்து ஈன்று இளைப்பட்ட
மென் புனிற்று அம் பிணவு பசித்தெனப் பைங்கண்
செந்நாய் ஏற்றை கேழல் தாக்க
இரியற் பிணவல் தீண்டலின் பரீஇச்
செங்காய் உதிர்ந்த பைங்குலை ஈந்தின்  
பரல் மண் சுவல முரண் நிலம் உடைத்த
வல்வாய்க் கணிச்சி கூழார் கோவலர்
ஊறாது இட்ட உவலைக் கூவல்
வெண்கோடு நயந்த அன்பில் கானவர்
இகழ்ந்து இயங்கு இயவின் அகழ்ந்த குழி செத்து  
இருங்களிற்று இன நிரை தூர்க்கும்
பெருங்கல் அத்தம் விலங்கிய காடே  
"
அகநானூறு,"அணங்குடை நெடுவரை உச்சியின் இழிதரும்
கணம் கொள் அருவிக் கான் கெழு நாடன்
மணம் கமழ் வியன் மார்பு அணங்கிய செல்லல்
இது என அறியா மறுவரல் பொழுதில்
படியோர்த் தேய்த்த பல்புகழ்த் தடக்கை  
நெடுவேள் பேண தணிகுவள் இவள் என
முதுவாய்ப் பெண்டிர் அதுவாய் கூற
களம் நன்கு இழைத்துக் கண்ணி சூட்டி
வள நகர் சிலம்பப் பாடிப் பலி கொடுத்து
உருவச் செந்தினை குருதியொடு தூஉய்  
முருகு ஆற்றுப்படுத்த உருகெழு நடுநாள்
ஆரம் நாற அரு விடர்த் ததைந்த
சாரல் பல் பூ வண்டுபடச் சூடி
களிற்று இரை தெரீஇய பார்வல் ஒதுக்கின்
ஒளித்து இயங்கும் மரபின் வயப் புலி போல  
நல் மனை நெடுநகர்க் காவலர் அறியாமை
தன் நசை உள்ளத்து நம் நசை வாய்ப்ப
இன் உயிர் குழைய முயங்குதொறும் மெய்ம்மலிந்து
நக்கனென் அல்லனோ யானே எய்த்த
நோய் தணி காதலர் வர ஈண்டு  
ஏதில் வேலற்கு உலந்தமை கண்டே  
"
அகநானூறு,"மண்கண் குளிர்ப்ப வீசி தண் பெயல்
பாடு உலந்தன்றே பறைக் குரல் எழிலி
புதல் மிசைத் தளவின் இதல் முள் செந்நனை
நெருங்கு குலைப் பிடவமொடு ஒருங்கு பிணி அவிழக்
காடே கம்மென்றன்றே அவல  
கோடு உடைந்தன்ன கோடல் பைம்பயிர்
பதவின் பாவை முனைஇ மதவு நடை
அண்ணல் இரலை அமர் பிணை தழீஇத்
தண் அறல் பருகித் தாழ்ந்து பட்டனவே
அனைய கொல் வாழி தோழி மனைய  
தாழ்வின் நொச்சி சூழ்வன மலரும்
மௌவல் மாச்சினை காட்டி
அவ்வளவு என்றார் ஆண்டுச் செய் பொருளே  
"
அகநானூறு,"வேளாப் பார்ப்பான் வாள் அரம் துமித்த
வளை களைந்து ஒழிந்த கொழுந்தின் அன்ன
தலை பிணி அவிழா சுரி முகப் பகன்றை
சிதரல் அம் துவலை தூவலின் மலரும்
தைஇ நின்ற தண் பெயல் கடை நாள்  
வயங்கு கதிர் கரந்த வாடை வைகறை
விசும்பு உரிவது போல் வியல் இடத்து ஒழுகி
மங்குல் மா மழை தென் புலம் படரும்
பனி இருங்கங்குலும் தமியள் நீந்தி
தம் ஊரோளே நன்னுதல் யாமே  
கடி மதில் கதவம் பாய்தலின் தொடி பிளந்து
நுதி முகம் மழுகிய மண்ணை வெண்கோட்டுச்
சிறுகண் யானை நெடுநா ஒண்மணி
கழிப் பிணிக் கறைத் தோல் பொழி கணை உதைப்பு
தழங்கு குரல் முரசமொடு முழங்கும் யாமத்து  
கழித்து உறை செறியா வாளுடை எறுழ்த்தோள்
இரவு துயில் மடிந்த தானை
உரவுச்சின வேந்தன் பாசறையேமே  
"
